Tijdstempel;What programme are you in?;Have you taken a course on machine learning?;Have you taken a course on information retrieval?;Have you taken a course on statistics?;Have you taken a course on databases?;What is your gender?;I have used ChatGPT to help me with some of my study assignments ;When is your birthday (date)?;How many students do you estimate there are in the room?;Did you stand up to come to your previous answer    ?;What is your stress level (0-100)?;How many hours per week do you do sports (in whole hours)? ;Give a random number;Time you went to bed Yesterday;What makes a good day for you?
4-4-2023 12:09:51;neuroscience;False;0;mu;nee;Female;0.0;1999-09-05;350.0;0.0;70.0;8.0;9.0;22:30:00;Good food  Good company
4-4-2023 12:09:52;ai;True;0;sigma;nee;Male;1.0;1999-05-14;150.0;0.0;100.0;290.0;290.0;;Getting things done Creating
4-4-2023 12:09:53;msc computational science;False;1;mu;nee;Male;;1997-11-11;300.0;0.0;50.0;2.0;182638.0;;No task Alone
4-4-2023 12:09:54;ba;True;0;mu;nee;Female;0.0;;800.0;0.0;70.0;0.0;90.0;;eat well sleep well
4-4-2023 12:09:59;Artificial Intelligence;True;1;mu;ja;Female;1.0;1997-08-08;516.0;0.0;6.0;1.0;666.0;00:30:00;The sun Friends and food
4-4-2023 12:09:59;masters cs (big data engineering);False;0;mu;nee;Female;1.0;1998-11-05;85.0;0.0;80.0;0.0;11.0;;Good food Productivity
4-4-2023 12:10:00;bioinformatics and systems biology;True;0;mu;ja;Female;0.0;2002-09-15;450.0;0.0;70.0;2.0;96.0;;Eating chocolate Getting a high grade 
4-4-2023 12:10:03;business analytics;True;0;mu;nee;Male;1.0;1997-04-26;400.0;0.0;99.0;2.0;4.0;;Being productive  Having a good meal
4-4-2023 12:10:05;bioinformatics;True;0;sigma;nee;Male;1.0;2000-10-24;380.0;;80.0;8.0;30.0;02:45:00;food  game
4-4-2023 12:10:09;Artificial Intelligence;True;0;unknown;ja;Other;;2002-05-07;200.0;0.0;10.0;5.0;189572.0;01:00:00;Good night rest No anxiety
4-4-2023 12:10:11;bioinformatics and systemsbiology;True;0;mu;nee;Female;;2000-01-31;449.0;0.0;67.0;2.0;7.0;00:30:00;Family  Good food
4-4-2023 12:10:11;msc bioinformatics and systems biology;True;0;mu;nee;Female;1.0;1997-03-05;600.0;0.0;80.0;2.0;7.0;22:20:00;blue skies lakes/beach
4-4-2023 12:10:14;computer science;unknown;unknown;mu;ja;Male;0.0;1999-03-31;500.0;;90.0;8.0;24.0;;Good weather No assigment
4-4-2023 12:10:14;cs;False;0;mu;ja;Female;1.0;;200.0;0.0;30.0;8.0;27.0;;sunny days good meals
4-4-2023 12:10:15;msc bioinformatics;True;0;unknown;nee;Female;0.0;1998-12-18;400.0;0.0;10.0;4.0;25.0;;Slept well Food 
4-4-2023 12:10:17;finance and technology;True;1;mu;ja;Male;;1998-02-17;400.0;0.0;80.0;3.0;11.0;;Friends Family
4-4-2023 12:10:17;Artificial Intelligence;True;1;mu;nee;Female;1.0;1999-08-22;400.0;0.0;80.0;6.0;69.0;22:30:00;A sunny day  If I had a nice workout 
4-4-2023 12:10:18;Artificial Intelligence;False;1;mu;nee;Female;1.0;1998-09-28;500.0;0.0;50.0;4.0;56.0;23:30:00;Sunny Good food 
4-4-2023 12:10:18;econometrics and data science;True;1;mu;ja;Male;1.0;2001-07-05;300.0;0.0;50.0;6.0;10.0;;Feeling productive Exercised
4-4-2023 12:10:21;Artificial Intelligence;True;1;mu;ja;Female;1.0;1999-12-03;350.0;0.0;40.0;8.0;9.0;23:30:00;Good food Nice people
4-4-2023 12:10:27;116;True;1;mu;ja;Female;1.0;1997-12-14;400.0;0.0;90.0;4.0;3.0;01:00:00;No obligations Being outside in the sun
4-4-2023 12:10:32;masters bioinformatics and systems biology;True;0;mu;ja;Female;1.0;2001-10-31;300.0;0.0;;2.0;2.0;;good morning routine sunny weather
4-4-2023 12:10:35;computational science;True;0;mu;ja;Female;1.0;2001-10-01;270.0;;39.0;-10.0;;;Family! Friends!
4-4-2023 12:10:36;Artificial Intelligence;True;1;mu;nee;Female;0.0;1998-01-25;180.0;0.0;25.0;5.0;66.0;11:30:00;Good weather  Cats 
4-4-2023 12:10:36;bioinformatics;True;0;mu;nee;Male;1.0;1996-04-24;230.0;0.0;15.0;12.0;99.0;;food sex
4-4-2023 12:10:38;bioinformatics;True;0;mu;nee;Other;1.0;1999-08-08;500.0;0.0;30.0;4.0;3.0;;bread coffee
4-4-2023 12:10:38;human language technology;True;0;sigma;nee;Female;;1994-06-18;400.0;0.0;55.0;4.0;4.0;;coffee good sleep
4-4-2023 12:10:39;Artificial Intelligence;False;0;mu;nee;Male;1.0;1998-09-19;100.0;0.0;10.0;0.0;23.0;12:00:00;Sticking to my timetable  Eating good food 
4-4-2023 12:10:40;econometrics;True;1;mu;ja;Female;;2000-08-09;520.0;0.0;70.0;4.0;999.0;;The sun  Chill in nature
4-4-2023 12:10:41;mcs computational science;True;0;mu;nee;Female;1.0;1998-04-17;550.0;0.0;0.0;3.0;43.0;;Working out No class
4-4-2023 12:10:42;cs;True;unknown;mu;ja;Male;1.0;2000-02-11;200.0;0.0;30.0;7.0;;;Nice weather Kindness
4-4-2023 12:10:42;econometrics msc;unknown;0;mu;nee;Male;1.0;1998-06-09;75.0;0.0;55.0;5.0;6.0;;Good results Prodictivity
4-4-2023 12:10:43;computer science;True;0;unknown;ja;Male;;2000-02-28;300.0;;30.0;5.0;69.0;;coffee sunset
4-4-2023 12:10:45;msc in finance dhp in finance and technology;True;unknown;mu;nee;Male;1.0;1998-03-30;200.0;0.0;50.0;7.0;42.0;;Sunny weather No class
4-4-2023 12:10:45;computer science;False;0;mu;ja;Female;;1998-12-06;300.0;0.0;99.0;;22.0;01:40:00;Good food Biking
4-4-2023 12:10:45;bioinformatics and systems biology;True;0;mu;ja;Female;1.0;1999-01-16;400.0;0.0;65.0;3.0;4.0;22:00:00;Nice weather Friends
4-4-2023 12:10:45;bioinformatics and systems biology;True;0;unknown;nee;Female;1.0;1996-04-22;581.0;0.0;100.0;3.0;22.0;01:00:00;No class No exam
4-4-2023 12:10:46;ai;False;0;mu;nee;Female;1.0;1999-12-08;120.0;0.0;30.0;5.0;35.0;02:00:00;Good breakfast Good workout
4-4-2023 12:10:47;duisenberg honours programme in finance & technology;True;1;mu;nee;Other;0.0;;400.0;0.0;;5.0;29.0;02:00:00;A day where I went to the gym A productive day study-wise
4-4-2023 12:10:48;finance and technology;True;0;sigma;nee;Male;0.0;1997-02-06;200.0;0.0;10.0;0.0;7.0;;Food Sun
4-4-2023 12:10:48;cls;False;0;mu;nee;Male;1.0;1999-05-28;300.0;0.0;35.0;3.0;6.0;00:15:00;Vacation Company
4-4-2023 12:10:49;human language technology;True;0;mu;nee;Female;0.0;2000-12-28;500.0;0.0;17.0;2.0;22.0;02:00:00;Good weather Free time
4-4-2023 12:10:49;ai;True;0;mu;ja;Female;;1998-03-31;222.0;0.0;98.0;0.0;5.0;;eat well sleep well
4-4-2023 12:10:50;computational science;True;1;mu;ja;Female;;1999-02-05;300.0;0.0;70.0;1.0;69.0;;Coffee Friends
4-4-2023 12:10:50;human language technology;True;0;mu;nee;Female;1.0;2000-06-11;200.0;0.0;10.0;2.0;5.0;12:00:00;good weather  friends
4-4-2023 12:10:50;finance and technology;True;1;mu;nee;Male;0.0;2000-02-06;350.0;0.0;0.0;4.0;6.0;22:00:00;food sleep
4-4-2023 12:10:51;ba;True;0;mu;nee;Female;1.0;;150.0;0.0;15.0;5.0;8.0;00:30:00;Sun Good night of sleep
4-4-2023 12:10:51;Artificial Intelligence;False;0;mu;nee;Female;1.0;2000-02-19;350.0;0.0;70.0;1.0;28.0;00:30:00;Good meal Sun
4-4-2023 12:10:52;master's bioinformatics;True;0;mu;nee;Male;0.0;1997-07-08;300.0;0.0;50.0;4.0;3.0;;Music Food
4-4-2023 12:10:53;bioinformatics;True;0;mu;ja;Female;1.0;1997-01-05;580.0;0.0;60.0;1.0;8.0;;Sun Good food
4-4-2023 12:10:53;ai;False;0;mu;nee;Female;1.0;;300.0;0.0;50.0;1.0;99.0;23:30:00;Nice weather Nice meal and coffee
4-4-2023 12:10:53;msc econometrics and data science;True;1;mu;ja;Male;1.0;2001-08-07;100.0;0.0;40.0;7.0;6.0;00:30:00;Good food  Sun
4-4-2023 12:10:54;ai;True;0;mu;ja;Female;0.0;1997-06-17;285.0;0.0;;0.0;6.543579876447655e+16;;No lecture Sun
4-4-2023 12:10:55;ai;False;0;mu;ja;Male;0.0;;400.0;0.0;5.0;10.0;7556544.0;23:30:00;Holiday  Sport
4-4-2023 12:10:55;business analytics;True;0;mu;ja;Female;0.0;1996-08-18;350.0;0.0;20.0;15.0;26.0;22:30:00;Sunshine Friends 
4-4-2023 12:10:56;business analytics;True;0;mu;ja;Male;0.0;;550.0;0.0;30.0;10.0;8.0;23:00:00;Good weather Friend
4-4-2023 12:10:56;ai;True;0;mu;ja;Female;1.0;1998-04-12;170.0;0.0;65.0;8.0;69.0;22:30:00;Good weather Walking my dog
4-4-2023 12:10:56;bio-informatics;True;0;mu;ja;Female;0.0;1999-09-16;581.0;0.0;100.0;0.0;69.0;23:00:00;Having some free time for once No exam
4-4-2023 12:10:56;cs;True;1;mu;ja;Male;;;400.0;1.0;10.0;6.0;8.0;01:00:00;work done travelling
4-4-2023 12:10:56;cs;True;0;mu;ja;Male;1.0;2000-05-11;200.0;0.0;100.0;2.0;7.0;;well fed well rested
4-4-2023 12:10:56;econometrics and operations research;True;0;mu;nee;Male;1.0;1996-10-26;300.0;0.0;10.0;7.0;936.0;23:30:00;Productive  Coffee
4-4-2023 12:10:56;masters;False;0;mu;nee;Female;;;365.0;0.0;99.0;0.0;7.0;;Gossiping Sleep
4-4-2023 12:10:56;business analytics;True;1;mu;ja;Female;1.0;2001-10-23;555.0;0.0;66.0;4.0;3.0;;Lekker eten Leuke mensen
4-4-2023 12:10:56;computational science;True;0;mu;nee;Male;0.0;1999-06-22;226.0;0.0;5.0;3.0;;00:00:00;Friends Sun
4-4-2023 12:10:57;ai;True;1;sigma;ja;Male;1.0;;280.0;0.0;51.0;3.0;42.0;;Good sleep Tasty meal for dinner
4-4-2023 12:10:57;ai (uva);True;1;mu;nee;Female;1.0;2000-12-08;500.0;0.0;40.0;6.0;18.0;;Friends and food Nice weather
4-4-2023 12:10:57;msc. bioinformatics and systems biology;False;0;mu;ja;Male;1.0;;;0.0;;6.0;1337.0;00:30:00;A nice phish lots of stress
4-4-2023 12:10:57;business analytics;True;0;mu;nee;Female;1.0;1999-09-15;175.0;0.0;15.0;8.0;9.0;12:15:00;Sun Good food
4-4-2023 12:10:57;bioinformatics and systems biology;True;0;sigma;nee;Male;1.0;1997-12-12;500.0;0.0;5.0;6.0;8.0;;Morning sex Cocain
4-4-2023 12:10:57;m economics;True;0;mu;nee;Female;1.0;2000-04-09;300.0;0.0;15.0;9.0;56.0;;warm and sunny friends
4-4-2023 12:10:57;econometrics;False;1;mu;nee;Female;1.0;;400.0;0.0;75.0;7.0;3.0;21:30:00;Doing yoga Sunshine 
4-4-2023 12:10:58;master information sciences;True;1;unknown;ja;Male;1.0;1999-08-23;250.0;0.0;40.0;3.0;;23:59:00;Sun Music 
4-4-2023 12:10:58;finance;True;1;mu;nee;Male;0.0;1997-08-31;284.0;0.0;5.0;2.0;6.0;23:30:00;Nice weather Winning at life
4-4-2023 12:10:58;Artificial Intelligence;True;0;mu;ja;Male;1.0;2000-05-23;220.0;0.0;5.0;7.0;6.0;23:30:00;Beer Beer(2)
4-4-2023 12:10:58;Artificial Intelligence;False;0;mu;ja;Other;1.0;1999-11-24;200.0;0.0;90.0;;;;being productive being relaxed
4-4-2023 12:10:58;Artificial Intelligence;True;0;mu;nee;Female;1.0;;222.0;0.0;99.0;2.0;42.0;;Good weather No stress
4-4-2023 12:10:58;master finance & technology;True;0;mu;nee;Female;1.0;;453.0;0.0;65.0;4.0;1827.0;00:00:00;Well rested  Exercise
4-4-2023 12:10:59;ai;True;1;mu;ja;Male;1.0;1999-09-27;31.0;1.0;;0.0;90.0;;Data Mining
4-4-2023 12:10:59;quantitative risk management;False;0;mu;nee;Female;1.0;2000-02-05;250.0;0.0;70.0;6.0;536.0;22:00:00;Seeing friends No study
4-4-2023 12:10:59;cs;False;1;mu;ja;Male;1.0;;300.0;0.0;50.0;1.0;8.0;;Money Sleeping
4-4-2023 12:11:00;econometrics;False;0;mu;nee;Female;1.0;1998-03-04;487.0;0.0;9.0;11.0;4.0;;Coffee Sun
4-4-2023 12:11:00;business analytics;True;1;mu;ja;Female;1.0;;300.0;0.0;50.0;4.0;7.0;23:15:00;The sun shining  Friends
4-4-2023 12:11:00;ai;True;unknown;unknown;ja;Female;1.0;1997-10-09;400.0;0.0;70.0;10.0;9997655.0;22:50:00;Sun Friends
4-4-2023 12:11:00;computational science;True;0;mu;ja;Female;1.0;;550.0;0.0;70.0;;7.0;;nice weather good news
4-4-2023 12:11:00;Artificial Intelligence;False;0;mu;nee;Female;1.0;2000-08-06;250.0;0.0;86.0;6.0;7.0;;Oatmeal Sex
4-4-2023 12:11:00;finance & technology;True;0;mu;nee;Male;;1997-12-02;187.0;0.0;85.0;0.0;3840.0;;Having a good meal Going on a nice walk with my dog
4-4-2023 12:11:01;data thingy;False;0;mu;nee;Male;1.0;1900-01-01;236.0;0.0;99.0;6.0;7.726620037665516e+31;22:00:00;
4-4-2023 12:11:01;finance;True;0;mu;nee;Male;1.0;1998-04-30;450.0;0.0;69.0;8.0;28.0;23:30:00;Good food Sleep 
4-4-2023 12:11:02;ai;True;0;mu;ja;Female;1.0;1997-07-15;229.0;0.0;100.0;1.0;9.0;12:30:00;Good breakfast Good sleep
4-4-2023 12:11:02;econometrics and data science;True;0;mu;nee;Female;1.0;1997-04-17;300.0;0.0;68.0;;76.0;;Nice weather Wake up early
4-4-2023 12:11:02;Artificial Intelligence;False;0;mu;ja;Female;1.0;1999-06-14;100.0;0.0;10.0;;99.0;23:00:00;The sun Good food
4-4-2023 12:11:03;Artificial Intelligence;True;0;mu;ja;Male;0.0;1997-05-30;420.0;0.0;30.0;6.0;9.0;00:25:00;Good food Sunshine
4-4-2023 12:11:03;ai;True;0;mu;nee;Female;1.0;1997-06-08;230.0;0.0;43.0;5.0;37.0;00:20:00;Nice breakfast Sun shining
4-4-2023 12:11:03;ai;True;1;mu;nee;Other;1.0;1999-06-05;350.0;0.0;1.0;10.0;2.6457384757363753e+18;01:00:00;sun and free time food
4-4-2023 12:11:03;business analytics;True;0;mu;nee;Male;1.0;2000-04-03;350.0;0.0;22.0;7.0;58.0;23:30:00;Nice weather  Gym  
4-4-2023 12:11:03;ai;True;0;mu;nee;Male;;;427.0;0.0;62.0;5.0;27922261.0;02:00:00;Socializing Activities
4-4-2023 12:11:04;exchange;True;0;unknown;nee;Female;1.0;;456.0;0.0;99.0;7.0;7.0;;good food new friends
4-4-2023 12:11:04;econometrics;True;1;mu;nee;Male;;1997-11-08;350.0;0.0;60.0;8.0;3.14;;sleeping out making music
4-4-2023 12:11:04;bioinformatics and systems biology;True;unknown;mu;ja;Other;0.0;1999-06-11;250.0;0.0;40.0;5.0;21.0;23:45:00;Nice weather Good deed done
4-4-2023 12:11:05;ba;True;1;mu;ja;Female;1.0;1997-01-01;900.0;;100.0;0.0;3.0;;Fun Bier
4-4-2023 12:11:05;computational science;True;0;mu;nee;Male;1.0;2000-05-19;300.0;0.0;10.0;8.0;9.484676182891676e+32;22:00:00;Being active Getting a good night's sleep 
4-4-2023 12:11:05;duisenberg fintech;True;0;mu;nee;Male;1.0;2000-08-14;275.0;0.0;30.0;6.0;42.0;;Having a good chat with friends  Food and drinks
4-4-2023 12:11:05;ai;True;0;mu;ja;Male;0.0;1997-05-02;376.0;0.0;60.0;10.0;6721.0;;Time to read A good lunch
4-4-2023 12:11:05;bioinformatics and systems biology;False;0;sigma;nee;Male;1.0;1994-07-14;;0.0;;5.0;7.0;;Clear Skies Sunny days
4-4-2023 12:11:06;ai;True;0;sigma;ja;Female;0.0;1985-04-23;413.0;0.0;74.0;5.0;623.0;21:53:00;sunshine cake
4-4-2023 12:11:06;computational science;False;1;mu;nee;Female;1.0;1997-09-30;325.0;0.0;45.0;3.0;72.0;02:00:00;Arts & Crafts Good Music
4-4-2023 12:11:06;ai;True;0;mu;nee;Male;1.0;1997-12-22;543.0;0.0;15.0;6.0;158295726.0;00:30:00;The sun Free time
4-4-2023 12:11:06;computer science;True;0;sigma;ja;Male;;1999-03-13;150.0;0.0;80.0;5.0;88.0;;video game video game
4-4-2023 12:11:06;bioinformatics & systems biology;True;0;mu;ja;Male;0.0;1998-11-05;600.0;0.0;65.0;4.0;69.0;;Little stress Having fun
4-4-2023 12:11:06;ai;False;1;mu;ja;Female;1.0;1999-04-25;380.0;0.0;;10.0;4.0;;Did sports  Being productive in some way 
4-4-2023 12:11:06;econometrics;False;0;mu;ja;Female;1.0;1999-05-25;280.0;0.0;40.0;6.0;68.0;;Sun Being free
4-4-2023 12:11:07;ai;True;0;mu;ja;Male;1.0;1999-05-12;350.0;0.0;20.0;1.0;4.0;;Progress Learning
4-4-2023 12:11:07;duisenberg honours programme in finance and technology;True;0;mu;nee;Male;0.0;1999-01-20;400.0;0.0;15.0;8.0;1.0;;Sport Drinks
4-4-2023 12:11:07;econometrics;True;0;sigma;nee;Male;;;450.0;0.0;23.0;10.0;23.0;01:00:00;Sleeping in Being duty-free
4-4-2023 12:11:07;biomedical sciences;False;0;mu;nee;Male;0.0;2001-01-15;400.0;0.0;20.0;6.0;8.0;23:00:00;Good sleep Good meal
4-4-2023 12:11:07;management, policy analysis and entrepreneurship in health and life sciences;False;0;mu;nee;Female;0.0;1998-02-01;456.0;0.0;85.0;3.0;3.0;;Sun, coffee, friends Good sleep, no stress, laughter
4-4-2023 12:11:08;Artificial Intelligence;True;0;mu;ja;Female;1.0;1992-11-08;575.0;0.0;99.0;10.0;7.0;00:22:00;enough sleep sun
4-4-2023 12:11:08;computational science;unknown;0;mu;ja;Male;1.0;1998-07-03;300.0;0.0;50.0;5.0;4793374949.0;;Good sleep Good food and beer with friends 
4-4-2023 12:11:08;computer science;False;1;sigma;ja;Male;0.0;1987-04-25;200.0;0.0;0.0;4.0;59.0;;Lekker eten en slapen Goed slaap
4-4-2023 12:11:08;qrm;True;0;sigma;nee;Female;1.0;2001-08-08;350.0;0.0;95.0;4.0;8.0;23:30:00;Sport Study success
4-4-2023 12:11:09;ai,;True;1;mu;ja;Male;1.0;1997-01-17;287.0;0.0;6.0;4.0;7.0;02:45:00;Mood Circumstances
4-4-2023 12:11:10;ai;True;1;mu;nee;Male;1.0;;400.0;0.0;10.0;8.0;63.0;00:30:00;The sun shining Having worked out in the morning
4-4-2023 12:11:10;Artificial Intelligence;True;1;mu;nee;Female;1.0;;400.0;0.0;10.0;3.0;6.0;;Sunshine Friends
4-4-2023 12:11:11;ba;True;0;mu;ja;Female;1.0;1998-11-15;400.0;0.0;70.0;3.0;6.0;00:00:00;Good food No deadlines
4-4-2023 12:11:11;ai;True;1;unknown;ja;Male;0.0;;180.0;0.0;0.0;8.0;29.0;;fixed bugs in the code not able to fix bugs in the code
4-4-2023 12:11:11;Artificial Intelligence;False;0;mu;nee;Male;1.0;2001-10-03;283.0;0.0;8.0;9.0;42.0;;Training Winning
4-4-2023 12:11:12;econometrics;True;0;mu;nee;Female;1.0;;350.0;0.0;50.0;3.0;33.0;;Prayer Loved ones
4-4-2023 12:11:12;econometrics and operations research;False;0;mu;nee;Male;1.0;1999-01-15;400.0;0.0;25.0;10.0;420.0;23:00:00;Friends, sport, using my brain, helping someone Sex
4-4-2023 12:11:12;computational science;False;1;mu;nee;Female;1.0;1999-07-10;450.0;0.0;10.0;4.0;5.0;;Good sleep  Painting
4-4-2023 12:11:12;business analytics;True;1;mu;ja;Male;1.0;1995-07-07;400.0;0.0;30.0;6.0;73.0;;Sport Sunny walk
4-4-2023 12:11:12;ai;True;0;mu;ja;Male;1.0;1997-01-01;400.0;0.0;10.0;10.0;2.0;23:00:00;Good weather Doing sports
4-4-2023 12:11:13;business analytics;True;1;mu;ja;Female;1.0;2000-11-09;500.0;0.0;90.0;3.0;12.0;00:30:00;Coffee Sunshine
4-4-2023 12:11:13;master business analytics;True;1;mu;ja;Male;0.0;2000-09-07;400.0;0.0;90.0;4.0;420.0;23:30:00;Fun activities for work/school Enough sleep
4-4-2023 12:11:13;ba;True;1;mu;ja;Male;1.0;2000-04-11;334.0;0.0;80.0;20.0;4.0;;Start with a training on the water (rowing) Getting 8 hours of sleep
4-4-2023 12:11:13;bioinformatics & systems biology;True;unknown;mu;nee;Other;0.0;2001-10-01;657.0;0.0;;;8.363536738388394e+25;;air ideas
4-4-2023 12:11:13;cls;True;0;mu;nee;Male;0.0;1999-12-21;348.0;0.0;0.0;15.0;5.0;23:00:00;Exercise  Reading
4-4-2023 12:11:14;ai;False;0;mu;ja;Female;0.0;1999-12-23;350.0;0.0;20.0;7.0;23.0;;Doing everything from my ToDo list Taking a walk
4-4-2023 12:11:14;ai;True;0;mu;nee;Female;1.0;1999-06-11;400.0;0.0;26.0;5.0;53645936.0;;Relaxing Meeting friends
4-4-2023 12:11:15;artifscial intelligense;True;0;mu;ja;Male;1.0;1990-01-01;500.0;0.0;50.321;5.0;314.159;;Sun Productivity
4-4-2023 12:11:15;computational science;False;0;mu;nee;Male;1.0;1998-02-08;189.0;0.0;75.0;10.0;7362562722.0;;Sleep Weather
4-4-2023 12:11:16;ai;True;1;mu;ja;Female;1.0;2000-03-05;520.0;0.0;20.0;2.0;67.0;23:00:00;Good food Good sleep
4-4-2023 12:11:16;bioinformatics and system biology;True;0;sigma;nee;Female;1.0;1999-06-16;500.0;1.0;99.0;2.0;6.0;;nothing happens sunny days
4-4-2023 12:11:16;econometrics;False;1;mu;ja;Female;0.0;2000-12-14;400.0;0.0;65.0;4.0;4.0;01:00:00;Sunny day Sushi
4-4-2023 12:11:16;computer science;True;1;unknown;ja;Female;;2000-03-21;300.0;0.0;20.0;6.0;3.0;;sun holiday
4-4-2023 12:11:16;econometrics and fintech;True;unknown;mu;ja;Male;0.0;1998-03-23;477.0;0.0;45.0;4.0;3.0;;Getting all my things done  Winning a lottery
4-4-2023 12:11:17;cs;True;0;mu;ja;Female;1.0;;350.0;1.0;7.0;7.0;7.0;;music alcohol
4-4-2023 12:11:17;bioinformatics and systems biology;False;0;mu;nee;Female;0.0;1997-11-23;250.0;0.0;50.0;1.0;73.0;;Being productive Quality time with friends
4-4-2023 12:11:18;computational science;True;0;mu;ja;Male;1.0;2000-11-18;450.0;0.0;60.0;15.0;27.0;12:00:00;Doing an activity or sports When I do not need to do anything for school
4-4-2023 12:11:18;master of computer science;True;0;mu;ja;Male;;1998-08-05;450.0;0.0;60.0;10.0;3.0;;Good weather Progress in study
4-4-2023 12:11:18;master digital business and innovation;True;0;mu;ja;Male;1.0;1998-01-05;200.0;0.0;20.0;7.0;7.0;21:00:00;Having time to workout Having nice, sunny weather
4-4-2023 12:11:18;ai;True;0;mu;ja;Male;1.0;1998-09-03;250.0;0.0;70.0;7.0;9.0;;Sleep Travel
4-4-2023 12:11:19;bioinformatics;True;0;sigma;nee;Female;1.0;;400.0;1.0;;0.0;9.0;12:30:00;good food excellent people
4-4-2023 12:11:19;bioinformatics;True;0;mu;ja;Female;1.0;2000-11-29;200.0;0.0;99.0;1.0;666.0;;Sunny day No class
4-4-2023 12:11:19;cs;False;0;sigma;nee;Male;1.0;1999-01-01;300.0;0.0;100.0;;7.0;01:00:00;a nice weather a nice meal
4-4-2023 12:11:19;ai;True;0;mu;ja;Female;0.0;1998-03-31;450.0;0.0;5.0;6.0;3.0;;waking up early and working out sunny and warm weather 
4-4-2023 12:11:19;qrm;False;0;mu;nee;Female;0.0;2001-10-05;451.0;0.0;90.0;2.0;8.0;00:30:00;No 9 AM lecture Food
4-4-2023 12:11:20;financial econometrics;False;0;mu;nee;Male;;;420.0;0.0;100.0;3.0;20.0;22:30:00;Good grade Learning on Machine Learning
4-4-2023 12:11:20;cs;True;1;sigma;ja;Male;;;438.0;;100.0;1.0;0.0;;Idk never had any Like I said
4-4-2023 12:11:21;econometrics;False;0;mu;nee;Male;1.0;1995-01-05;500.0;0.0;60.0;5.0;7.0;00:30:00;Sleep-in Sunshine
