Tijdstempel;What programme are you in?;Have you taken a course on machine learning?;Have you taken a course on information retrieval?;Have you taken a course on statistics?;Have you taken a course on databases?;What is your gender?;I have used ChatGPT to help me with some of my study assignments ;When is your birthday (date)?;How many students do you estimate there are in the room?;Did you stand up to come to your previous answer    ?;What is your stress level (0-100)?;How many hours per week do you do sports (in whole hours)? ;Give a random number;Time you went to bed Yesterday;What makes a good day for you (1)?;What makes a good day for you (2)?;What makes a good day for you (1)?_lemmatized;What makes a good day for you (2)?_lemmatized;Good_weather_day;incorrect_answer;stress_level_bins
4-4-2023 12:10:57;artificial intelligence;yes;1;sigma;ja;male;yes;13/12;280;no;51.0;3.0;42;11 PM;good sleep;tasty meal for dinner;good sleep;tasty meal for dinner;0;0;medium
4-4-2023 12:10:57;artificial intelligence;yes;1;mu;nee;female;yes;12-08-2000;500;no;40.0;6.0;18;22.00;friends and food;nice weather;friend and food;nice weather;1;0;medium
4-4-2023 12:10:57;bioinformatics;no;0;mu;ja;male;yes;"21'-;2\t-2000";six hundred;no;48.261403333333334;6.0;1337;00:30;a nice phish;lots of stress;a nice phish;lot of stress;0;0;medium
4-4-2023 12:10:57;business analytics;yes;0;mu;nee;female;yes;15-09-1999;175;no;15.0;8.0;9;12:15;sun;good food;sun;good food;1;0;low
4-4-2023 12:10:57;bioinformatics;yes;0;sigma;nee;male;yes;12.12.1997;500;no;5.0;6.0;8;2am;morning sex;cocain;morning sex;cocain;0;0;low
4-4-2023 12:10:57;other;yes;0;mu;nee;female;yes;04.09.2000;300;no;15.0;9.0;56;24;warm and sunny;friends;warm and sunny;friend;1;0;low
4-4-2023 12:10:57;econometrics;no;1;mu;nee;female;yes;23;400;no;75.0;7.0;3;21:30;doing yoga;sunshine;doing yoga;sunshine;1;0;high
4-4-2023 12:10:58;other;yes;1;unknown;ja;male;yes;23-08-1999;250;no;40.0;3.0;Driehonderd ;23:59;sun;music;sun;music;1;0;medium
4-4-2023 12:10:58;finance;yes;1;mu;nee;male;no;31-08-1997;284;no;5.0;2.0;6;23:30;nice weather;winning at life;nice weather;winning at life;1;0;low
4-4-2023 12:10:58;artificial intelligence;yes;0;mu;ja;male;yes;23-05-2000;220;no;5.0;7.0;6;23:30;beer;beer;beer;beer;0;0;low
4-4-2023 12:10:58;artificial intelligence;no;0;mu;ja;not willing to answer;yes;24/11/1999;200;no;90.0;45.0;pi;late ;being productive;being relaxed;being productive;being relaxed;0;0;high
4-4-2023 12:10:58;artificial intelligence;yes;0;mu;nee;female;yes;23/09;222;no;99.0;2.0;42;3;good weather;no stress;good weather;no stress;1;0;high
4-4-2023 12:10:58;finance;yes;0;mu;nee;female;yes;14/10;453;no;65.0;4.0;1827;00:00;well rested;exercise;well rested;exercise;0;0;medium
4-4-2023 12:10:59;artificial intelligence;yes;1;mu;ja;male;yes;27.09.1999;31;yes;100.0;0.0;90;02.35;data;mining;data;mining;0;0;high
4-4-2023 12:10:59;other;no;0;mu;nee;female;yes;02-05-2000;250;no;70.0;6.0;536;22:00;seeing friends;no study;seeing friend;no study;0;0;high
4-4-2023 12:10:59;computer science;no;1;mu;ja;male;yes;8.1;300;no;50.0;1.0;8;12;money;sleeping;money;sleeping;0;0;medium
4-4-2023 12:11:00;econometrics;no;0;mu;nee;female;yes;03/04/1998;487;no;9.0;11.0;4;23;coffee;sun;coffee;sun;1;0;low
4-4-2023 12:11:00;business analytics;yes;1;mu;ja;female;yes;Somewhere in the summer;300;no;50.0;4.0;7;23:15;the sun shining;friends;the sun shining;friend;1;0;medium
4-4-2023 12:11:00;artificial intelligence;yes;unknown;unknown;ja;female;yes;10-09-1997;400;no;70.0;10.0;9997655;22:50;sun;friends;sun;friend;1;0;high
4-4-2023 12:11:00;computational science;yes;0;mu;ja;female;yes;11-24;550;no;70.0;3.0;7;1:20 am;nice weather;good news;nice weather;good news;1;0;high
4-4-2023 12:11:00;artificial intelligence;no;0;mu;nee;female;yes;08-06-2000;250;no;86.0;6.0;7;23.15;oatmeal;sex;oatmeal;sex;0;0;high
4-4-2023 12:11:00;finance;yes;0;mu;nee;male;not willing to say;12.02.1997;187;no;85.0;0.0;3840;1:00 AM ;having a good meal;going on a nice walk with my dog;having a good meal;going on a nice walk with my dog;0;0;high
4-4-2023 12:11:01;other;no;0;mu;nee;male;yes;01-01-1900;236;no;99.0;6.0;77266200376655155388366366655583;22:00;preheating a sausage roll;sleep;preheating a sausage roll;sleep;0;0;high
4-4-2023 12:11:01;finance;yes;0;mu;nee;male;yes;30/04/1998;450;no;69.0;8.0;28;23:30;good food;good sleep;good food;good sleep;0;0;high
4-4-2023 12:11:02;artificial intelligence;yes;0;mu;ja;female;yes;15/07/97;229;no;100.0;1.0;9;12:30;good breakfast;wake up early;good breakfast;wake up early;0;0;high
4-4-2023 12:11:02;econometrics;yes;0;mu;nee;female;yes;17.04.1997;300;no;68.0;1.0;76;3 am;nice weather;good food;nice weather;good food;1;0;high
4-4-2023 12:11:02;artificial intelligence;no;0;mu;ja;female;yes;14-06-1999;100;no;10.0;1.5;99;23:00;the sun;sunshine;the sun;sunshine;1;0;low
4-4-2023 12:11:03;artificial intelligence;yes;0;mu;ja;male;no;30 may 1997;420;no;30.0;6.0;9;00:25;good food;sun shining;good food;sun shining;1;0;low
4-4-2023 12:11:03;artificial intelligence;yes;0;mu;nee;female;yes;6-8-1997;230;no;43.0;5.0;37;00:20;nice breakfast;food;nice breakfast;food;0;0;medium
4-4-2023 12:11:03;artificial intelligence;yes;1;mu;nee;not willing to answer;yes;06/05/1999;350;no;1.0;10.0;2645738475736375389;01:00;sun and free time;gym;sun and free time;gym;1;0;low
4-4-2023 12:11:03;business analytics;yes;0;mu;nee;male;yes;04/03/2000;350;no;22.0;7.0;58;23:30;nice weather;activities;nice weather;activity;1;0;low
4-4-2023 12:11:03;artificial intelligence;yes;0;mu;nee;male;not willing to say;Oud;427;no;62.0;5.0;27922261;02:00;socializing;new friends;socializing;new friend;0;0;medium
4-4-2023 12:11:04;other;yes;0;unknown;nee;female;yes;19;456;no;99.0;7.0;7;23.59;good food;making music;good food;making music;0;0;high
4-4-2023 12:11:04;econometrics;yes;1;mu;nee;male;not willing to say;11-08-1997;350;no;60.0;8.0;3.14;0030;sleeping out;good deed done;sleeping out;good deed done;0;0;medium
4-4-2023 12:11:04;bioinformatics;yes;unknown;mu;ja;non-binary;no;6/11/1999;250;no;40.0;5.0;21;23:45;nice weather;bier;nice weather;bier;1;0;medium
4-4-2023 12:11:05;business analytics;yes;1;mu;ja;female;yes;1997;900;unknown;100.0;0.0;3;22.30;fun;getting a good night s sleep;fun;getting a good night s sleep;0;0;high
4-4-2023 12:11:05;computational science;yes;0;mu;nee;male;yes;19-05-2000;300;no;10.0;8.0;948467618289167649818181849739491;22:00;being active;food and drinks;being active;food and drink;0;0;low
4-4-2023 12:11:05;finance;yes;0;mu;nee;male;yes;14-08-2000;275;no;30.0;6.0;42;1 am;having a good chat with friends;a good lunch;having a good chat with friend;a good lunch;0;0;low
4-4-2023 12:11:05;artificial intelligence;yes;0;mu;ja;male;no;5-2-1997;376;no;60.0;10.0;6721;22.16;time to read;sunny days;time to read;sunny day;1;0;medium
4-4-2023 12:11:05;bioinformatics;no;0;sigma;nee;male;yes;14/07/1994;300.5;no;100.0;5.0;7;12 am;clear skies;cake;clear sky;cake;0;1;high
4-4-2023 12:11:06;artificial intelligence;yes;0;sigma;ja;female;no;23/4/1985;413;no;74.0;5.0;623;21:53;sunshine;good music;sunshine;good music;1;0;high
4-4-2023 12:11:06;computational science;no;1;mu;nee;female;yes;30 September 1997;325;no;45.0;3.0;72;2:00;arts crafts;free time;art craft;free time;0;0;medium
4-4-2023 12:11:06;artificial intelligence;yes;0;mu;nee;male;yes;22-12-1997;543;no;15.0;6.0;158295726;00:30;the sun;video game;the sun;video game;1;0;low
4-4-2023 12:11:06;computer science;yes;0;sigma;ja;male;not willing to say;13/03/1999;150;no;80.0;5.0;88;2:30am;video game;having fun;video game;having fun;0;0;high
4-4-2023 12:11:06;bioinformatics;yes;0;mu;ja;male;no;11-05-1998;600;no;65.0;4.0;69;Midnight;little stress;being productive in some way;little stress;being productive in some way;0;0;medium
4-4-2023 12:11:06;artificial intelligence;no;1;mu;ja;female;yes;25/04/1999;380;no;65.0;10.0;4;01:00 ;did sports;being free;did sport;being free;0;0;medium
4-4-2023 12:11:06;econometrics;no;0;mu;ja;female;yes;25-05-1999;280;no;40.0;6.0;68;11;sun;learning;sun;learning;1;0;medium
4-4-2023 12:11:07;artificial intelligence;yes;0;mu;ja;male;yes;05/12/1999;350;no;20.0;1.0;4;0200;progress;drinks;progress;drink;0;0;low
4-4-2023 12:11:07;finance;yes;0;mu;nee;male;no;20.01.1999;400;no;15.0;8.0;1;22.30;sport;being duty free;sport;being duty free;0;0;low
4-4-2023 12:11:07;econometrics;yes;0;sigma;nee;male;not willing to say;04/10;450;no;23.0;10.0;23;1:00;sleeping in;good meal;sleeping in;good meal;0;0;low
4-4-2023 12:11:07;other;no;0;mu;nee;male;no;15-01-2001;400;no;20.0;6.0;8;23:00;good sleep;good sleep no stress laughter;good sleep;good sleep no stress laughter;0;0;low
4-4-2023 12:11:07;other;no;0;mu;nee;female;no;02-1998;456;no;85.0;3.0;3;23.30;sun coffee friends;sun;sun coffee friend;sun;1;0;high
4-4-2023 12:11:08;artificial intelligence;yes;0;mu;ja;female;yes;11/08/1992;575;no;99.0;10.0;7;00:22;enough sleep;good food and beer with friends;enough sleep;good food and beer with friend;0;0;high
4-4-2023 12:11:08;computational science;unknown;0;mu;ja;male;yes;3rd July, 1998;300;no;50.0;5.0;4793374949;12;good sleep;goed slaap;good sleep;goed slaap;0;0;medium
4-4-2023 12:11:08;computer science;no;1;sigma;ja;male;no;25-04-1987;200;no;0.0;4.0;59;12;lekker eten en slapen;study success;lekker eten en slapen;study success;0;0;low
4-4-2023 12:11:08;other;yes;0;sigma;nee;female;yes;08-08-2001;350;no;95.0;4.0;8;23:30;sport;circumstances;sport;circumstance;0;0;high
4-4-2023 12:11:09;artificial intelligence;yes;1;mu;ja;male;yes;17/01/1997;287;no;6.0;4.0;7;02:45;mood;having worked out in the morning;mood;having worked out in the morning;0;0;low
4-4-2023 12:11:10;artificial intelligence;yes;1;mu;nee;male;yes;27-03;400;no;10.0;8.0;63;00:30;the sun shining;friends;the sun shining;friend;1;0;low
4-4-2023 12:11:10;artificial intelligence;yes;1;mu;nee;female;yes;25-10;400;no;10.0;3.0;6;23u;sunshine;no deadlines;sunshine;no deadline;1;0;low
4-4-2023 12:11:11;business analytics;yes;0;mu;ja;female;yes;15-11-1998;400;no;70.0;3.0;6;00:00;good food;not able to fix bugs in the code;good food;not able to fix bug in the code;0;0;high
4-4-2023 12:11:11;artificial intelligence;yes;1;unknown;ja;male;no;15;180;no;0.0;8.0;29;12;fixed bugs in the code;winning;fixed bug in the code;winning;0;0;low
4-4-2023 12:11:11;artificial intelligence;no;0;mu;nee;male;yes;10/03/2001;283;no;8.0;9.0;42;2300;training;loved ones;training;loved one;0;0;low
4-4-2023 12:11:12;econometrics;yes;0;mu;nee;female;yes;21-02;350;no;50.0;3.0;33;23.30;prayer;sex;prayer;sex;0;0;medium
4-4-2023 12:11:12;econometrics;no;0;mu;nee;male;yes;15-01-1999;400;no;25.0;10.0;420;23:00;friends sport using my brain helping someone;painting;friend sport using my brain helping someone;painting;0;0;low
4-4-2023 12:11:12;computational science;no;1;mu;nee;female;yes;07-10-1999;450;no;10.0;4.0;5;2 am;good sleep;sunny walk;good sleep;sunny walk;1;0;low
4-4-2023 12:11:12;business analytics;yes;1;mu;ja;male;yes;07-07-1995;400;no;30.0;6.0;73;12;sport;doing sports;sport;doing sport;0;0;low
4-4-2023 12:11:12;artificial intelligence;yes;0;mu;ja;male;yes;1997;400;no;10.0;10.0;2;23:00;good weather;sunshine;good weather;sunshine;1;0;low
4-4-2023 12:11:13;business analytics;yes;1;mu;ja;female;yes;11-09-2000;500;no;90.0;3.0;12;00:30;coffee;enough sleep;coffee;enough sleep;0;0;high
4-4-2023 12:11:13;business analytics;yes;1;mu;ja;male;no;09-07-2000;400;no;90.0;4.0;420;23:30;fun activities for work school;getting hours of sleep;fun activity for work school;getting hour of sleep;0;0;high
4-4-2023 12:11:13;business analytics;yes;1;mu;ja;male;yes;04/11/00;334;no;80.0;20.0;4;21.00;start with a training on the water rowing;ideas;start with a training on the water rowing;idea;0;0;high
4-4-2023 12:11:13;bioinformatics;yes;unknown;mu;nee;not willing to answer;no;10-01-2001;657;no;0.0;0.01;83635367383883939383726242;23.58;air;reading;air;reading;0;1;low
4-4-2023 12:11:13;cls;yes;0;mu;nee;male;no;1999-12-21;348;no;0.0;15.0;5;23:00;exercise;taking a walk;exercise;taking a walk;0;0;low
4-4-2023 12:11:14;artificial intelligence;no;0;mu;ja;female;no;23.12.1999;350;no;20.0;7.0;23;12:30 am;doing everything from my todo list;meeting friends;doing everything from my todo list;meeting friend;0;0;low
4-4-2023 12:11:14;artificial intelligence;yes;0;mu;nee;female;yes;06-11-1999;400;no;26.0;5.0;53645936;00.30;relaxing;productivity;relaxing;productivity;0;0;low
